Nama Barang,Harga,Stok,Sold Out
KOTAK GULUNG UNTUK BRAINROT - 1 BRAINROT RANDOM LV MAX  500SX+/S(TERGANTUNG),10000,10,
KOTAK GULUNG UNTUK BRAINROT - 1 BRAINROT RANDOM LV MAX  1SP+/S(TERGANTUNG),15000,5,
block keberuntungan ledakan daya - 1 BRAINROT RANDOM ILAHI TDC/s+,10000,10,
block keberuntungan ledakan daya - 1 BRAINROT RANDOM OMEGA QADC/s+,15000,10,
Grow A Garden 2 - DAPAT 1 STAR FRUIT SEED,30000,0,YA
Grow A Garden 2 - DAPAT 1 SUN BLOOM SEED,20000,2,
Grow A Garden 2 - DAPAT 4 MOON BLOOM SEED (PROMO TERBATAS),10000,4,
Grow A Garden 2 - DAPAT 4 HYPNO BLOOM SEED (PROMO TERBATAS),10000,10,
Grow A Garden 2 - DAPAT 2 DRAGON BRETH SEED,10000,7,
Grow A Garden 2 - DAPAT 4 VENOM SEED,10000,10,
Grow A Garden 2 - DAPAT 3 GHOST PAPER SEED,10000,10,
Grow A Garden 2 - DAPAT 2 VENUS FLY TRAP SEED,10000,0,YA
Grow A Garden 2 - DAPAT 1 PET BALD EAGLE (MYTIC),10000,3,
Grow A Garden 2 - DAPAT 1 PET UNICORN (MYTIC),10000,10,
Grow A Garden 2 - DAPAT 1 PET BEAR (MYTIC),10000,5,
Grow A Garden 2 - DAPAT 1 DRAGONFLY (MYTIC),10000,0,YA
Grow A Garden 2 - DAPAT 10 MEGA SEED,10000,10,
Grow A Garden 2 - DAPAT 300m sheckless(duit gag2)via buah,15000,10,
Grow A Garden 2 - DAPAT 1B sheckless(duit gag2)via buah,30000,3,
Grow A Garden 2 - DAPAT 15 SUPER SPRINKLE (GEAR),10000,20,
Grow A Garden 2 - DAPAT 15 SUPER WATERING (GEAR),10000,20,
be flash for brainrot - 1 BRAINROT RANDOM 10QI/S,10000,10,
be flash for brainrot - 1 GOD ESOK SEKOLA 50%,10000,10,
build a base and steal - 1 YETI OG(INFERNO) 1B/S,15000,0,YA
NAIK DAN JATUHKAN BLOCK KEBERUNTUNGAN - 1 BRAINROT MASTODONTIK OMNIVERSE (HACKER) 700SP+/s,15000,10,
NAIK DAN JATUHKAN BLOCK KEBERUNTUNGAN - 1 BRAINROT CAPTAIN MOBY OMNIVERSE (HACKER) 300SP/s,10000,5,
drill for brainrot - 1 ketupat kepat inf/s(tamat),15000,50,
drill for brainrot - 2 ketupat kepat inf/s(tamat),25000,50,
drill for brainrot - 1 MY EXAME 16M/s duit bulan,15000,50,
drill for brainrot - 2 NUCLEARO 16M/s duit bulan,25000,50,
Swing obby for brainrot - naga sepuh lv 500.000(langsung tamat),15000,0,YA
CAPYBARA VS TANAMAN - 1 ANGEL CAPYBARA TITAN 600K DPS,15000,0,YA
CAPYBARA VS TANAMAN - 1 SHINIGAMI CAPYBARA TITAN 1.3M DPS,30000,0,YA
+1 KEKUATAN MENUMBUHKAN LENGAN ANDA - 1 BRAINROT SOVEREIGN RANDOM 500O+/S,10000,10,
+1 KEKUATAN MENUMBUHKAN LENGAN ANDA - 1 BRAINROT SOVEREIGN RANDOM 1N+/S,15000,10,
STEAL A EGG - 1 PET RANDOM 100M/S+,15000,10,
BECOME A BRAINROT - 1 BRAINROT STELLAR RANDOM LV MAX(500),10000,10,
BECOME A BRAINROT - UP LV MAX 2 BRAINROT BEBAS,10000,99999,
di dalam kepala brainrot - 1 ABADI RANDOM 1sp/s+,15000,10,
di dalam kepala brainrot - 2 ABADI RANDOM 1sp/s+,20000,10,
di dalam kepala brainrot - 1 ABADI RANDOM 1sx/s+,10000,0,YA
di dalam kepala brainrot - 2 ABADI RANDOM 1sx/s+,15000,0,YA
BE MONKEY FOR BRAINROT - DAPAT 1 BRAINROT ALMIGHTY 69 1SXI/S LV MAX,10000,10,
BE MONKEY FOR BRAINROT - DAPAT 2 BRAINROT ALMIGHTY 69 1SXI/S LV MAX,15000,10,
pecahkan tape for brainrot - 1 brainrot RANDOM 1SX+/S,10000,10,
pecahkan tape for brainrot - 2 brainrot RANDOM 1SX+/S,15000,10,
LEPAR KOIN - DAPAT 10 TURBIN (PERPETUAL) 500 DC TERGANTUNG LUCK UANG,10000,10,
LEPAR KOIN - DAPAT 20 TURBIN (PERPETUAL) 500 DC TERGANTUNG LUCK UANG,15000,10,
SWING WEB FOR LUCKY BLOCK - 1 BRAINROT ADMIN RANDOM 1QI/S+ TERGANTUNG REBIRTH (LANGSUNG SEPUH),10000,10,
JATUH FOR BRAINROT - 1 BRAINROT RANDOM LV MAX  3N+/S,10000,5,
JATUH FOR BRAINROT - 1 BRAINROT RANDOM LV MAX  10N+O/S,15000,5,
BRAIN BLAST FOR LUCKY BLOCK - 1 BRAINROT RANDOM EMPEREYAN 40 QA+/S(TERGANTUNG REBIRTH) LV MAX,10000,10,
BRAIN BLAST FOR LUCKY BLOCK - 2 BRAINROT RANDOM EMPEREYAN 40 QA+/S(TERGANTUNG REBIRTH) LV MAX,15000,10,
+ 1 MINE PER KLICK - DAPAT 15 BATU 1 B,10000,10,
steal a brainrot-chat admin,0,0,YA
steal a brainrot-1 garam dan madung,50000,0,YA
token tsunami brainrot(300),10000,0,YA
token tsunami brainrot(1000),30000,0,YA
token grow a garden(250),10000,0,YA
RUSH LUCKY BLOCK - 2 MALAM XEON 1.6T+/S LV MAX TERGANTUNG REBIRTH + BONUS,10000,6,
RUSH LUCKY BLOCK - 4 MALAM XEON 1.6T+/S LV MAX TERGANTUNG REBIRTH + BONUS,15000,6,
tendang block keberuntungan -DAPAT 1 brainrot ABYSALL COINATOR lv max 4.8Q/s(ASTRAL) sepuh langka,10000,3,
Katalog Kosong 6 - v1,50000,0,YA
Katalog Kosong 6 - v2,55000,0,YA
Katalog Kosong 6 - v3,60000,0,YA
Katalog Kosong 6 - v4,65000,0,YA
Katalog Kosong 6 - v5,70000,0,YA
Katalog Kosong 6 - v6,75000,0,YA
Katalog Kosong 6 - v7,80000,0,YA
Katalog Kosong 6 - v8,85000,0,YA
Katalog Kosong 6 - v9,90000,0,YA
Katalog Kosong 6 - v10,95000,0,YA
Katalog Kosong 7 - v1,50000,0,YA
Katalog Kosong 7 - v2,55000,0,YA
Katalog Kosong 7 - v3,60000,0,YA
Katalog Kosong 7 - v4,65000,0,YA
Katalog Kosong 7 - v5,70000,0,YA
Katalog Kosong 7 - v6,75000,0,YA
Katalog Kosong 7 - v7,80000,0,YA
Katalog Kosong 7 - v8,85000,0,YA
Katalog Kosong 7 - v9,90000,0,YA
Katalog Kosong 7 - v10,95000,0,YA
