Nama Barang,Harga,Stok,Sold Out,Gambar,Terjual
KOTAK GULUNG UNTUK BRAINROT - 1 BRAINROT RANDOM LV MAX  500SX+/S(TERGANTUNG),10000,100,,ROLL CASE BRAINROT MECHA CERBERUS 40SX.png,184
KOTAK GULUNG UNTUK BRAINROT - 1 BRAINROT RANDOM LV MAX  1SP+/S(TERGANTUNG),15000,5,,ROLL CASE BRAINROT 1SP RANDOM BRAINROT.png,284
block keberuntungan ledakan daya - 1 BRAINROT RANDOM ILAHI TDC/s+,10000,10,,BLOCK KEBERUNTUNGAN LEDAKAN DAYA TDC.png,400
block keberuntungan ledakan daya - 1 BRAINROT RANDOM OMEGA QADC/s+,15000,10,,BLOCK KEBERUNTUNGAN LEDAKAN DAYA QADC.png,400
Grow A Garden 2 - DAPAT 1 STAR FRUIT SEED,30000,0,YA,,8
Grow A Garden 2 - DAPAT 1 SUN BLOOM SEED,20000,2,,,8
Grow A Garden 2 - DAPAT 4 MOON BLOOM SEED (PROMO TERBATAS),10000,4,,,1198
Grow A Garden 2 - DAPAT 4 HYPNO BLOOM SEED (PROMO TERBATAS),10000,10,,,152
Grow A Garden 2 - DAPAT 2 DRAGON BRETH SEED,10000,7,,,3043
Grow A Garden 2 - DAPAT 4 VENOM SEED,10000,10,,,500
Grow A Garden 2 - DAPAT 3 GHOST PAPER SEED,10000,10,,,100
Grow A Garden 2 - DAPAT 2 VENUS FLY TRAP SEED,10000,0,YA,,100
Grow A Garden 2 - DAPAT 1 PET BALD EAGLE (MYTIC),10000,3,,,10
Grow A Garden 2 - DAPAT 1 PET UNICORN (MYTIC),10000,10,,,10
Grow A Garden 2 - DAPAT 1 PET BEAR (MYTIC),10000,5,,,10
Grow A Garden 2 - DAPAT 1 DRAGONFLY (MYTIC),10000,0,YA,,10
Grow A Garden 2 - DAPAT 10 MEGA SEED,10000,10,,,1000
Grow A Garden 2 - DAPAT 300m sheckless(duit gag2)via buah,15000,10,,,943
Grow A Garden 2 - DAPAT 1B sheckless(duit gag2)via buah,30000,3,,,546
Grow A Garden 2 - DAPAT 15 SUPER SPRINKLE (GEAR),10000,20,,,200
Grow A Garden 2 - DAPAT 15 SUPER WATERING (GEAR),10000,20,,,200
be flash for brainrot - 1 BRAINROT RANDOM 10QI/S,10000,10,,flash brainrot brainrot random10qi.png,2858
